Edad simple;Periodo;Total;Hombres;Mujeres
100 y más años;1981;3021;868;2153
100 y más años;1982;3366;939;2427
100 y más años;1983;3496;980;2516
100 y más años;1984;3638;972;2665
100 y más años;1985;3606;979;2627
100 y más años;1986;3629;971;2658
100 y más años;1987;3538;951;2587
100 y más años;1988;3331;931;2400
100 y más años;1989;3146;876;2270
100 y más años;1990;3226;909;2318
100 y más años;1991;2940;723;2217
100 y más años;1992;2870;692;2178
100 y más años;1993;2798;686;2112
100 y más años;1994;2649;641;2008
100 y más años;1995;2505;637;1868
100 y más años;1996;2405;644;1761
100 y más años;1997;2139;588;1551
100 y más años;1998;1945;506;1439
100 y más años;1999;1842;443;1400
100 y más años;2000;1998;478;1520
100 y más años;2001;3087;696;2391
100 y más años;2002;4269;944;3324
100 y más años;2003;4721;1048;3673
100 y más años;2004;4837;1119;3718
100 y más años;2005;5065;1147;3918
100 y más años;2006;5385;1224;4161
100 y más años;2007;5735;1254;4481
100 y más años;2008;6366;1442;4924
100 y más años;2009;6896;1532;5363
100 y más años;2010;7826;1703;6123
100 y más años;2011;9289;1956;7333
100 y más años;2012;10763;2210;8553
100 y más años;2013;10762;2085;8677
100 y más años;2014;10584;1953;8631
100 y más años;2015;10507;1818;8689
100 y más años;2016;10469;1694;8775
100 y más años;2017;10943;1820;9123
100 y más años;2018;11014;1795;9219
100 y más años;2019;11387;1882;9505
100 y más años;2020;12127;2052;10075
100 y más años;2021;12756;2230;10526
100 y más años;2022;13914;2438;11476
100 y más años;2023;14660;2578;12082
